Original Text,Language,Translated Text
Hello,en,Hello
Habari ya asubuhi,sw,Good morning
Ninunulie kitunguu,sw,Buy me onion
Waithira uko uku?,ig,Waithira uko uku?
🙏🙏🙏,und,🙏🙏🙏
👍🏿👍🏿,und,👍🏿👍🏿
I like it,en,I like it
When you join the group how much money does someone get,en,When you join the group how much money does someone get
When you get the money for how long will you pay the money?,en,When you get the money for how long will you pay the money?
How much did you apply,en,How much did you apply
sawa sawa,ar,sawa sawa
Rd huku,sw,Rd this.
Nimeelewa asante,sw,I have understood thank you
Waithira uko uku?,ig,Waithira uko uku?
Rd huku,sw,Rd this.
"*Karibuni wanabiashara katika hii training group ya Dukas.Tunawashukuru kwa kukubali kua kwenye mradi wa mSPARk. Kama tulivyowaambia hapo mwanzoni, huu mradi ni wa kukuelimisha na pia kukusaidia kupata mkopo usio na riba. Sababu ya kuwaweka kwa hii group ni ili tupate masomo kwa pamoja ndio tukimaliza tuweze kupata mikopo yetu. Tutajadiliana mengi kuhusu biashara hapa na leo tutaanza na kuweka mikakati ya kutuongoza katika group yetu. Baadaya ya hapo tutajadiliana kuhusu pesa. Yaani, jinsi tunavyo pata pesa kwa biasha kupitia mauzo, jinsi tunatumia hizi pesa na vile tunaweza kurekebisha mambo kadha wa kadha katika biashara zetu ili tupate faida/profit zaidi.*",sw,"* The latest businessmen in this Training Group of the desks.Tunawa thank you for accepting the Project of Mspark. As we told you at the beginning, this project is to educate and help you get a non-interest loan. The reason for keeping them for this Group is so that we can get to know we can get our credit. We will discuss a lot about business here and today we will start and set strategies to guide us in our Group. Then we will talk about money. That is, how we have money for busy through sales, how we use these money and how we can fix some of our business in order to benefit / profit. *"
"Rules. 1. Its mandatory to participate to the topic of discussion. 2. Be kind and courteous, have respect for each other. 3. No posting of non related issues.",en,"Rules. 1. Its mandatory to participate to the topic of discussion. 2. Be kind and courteous, have respect for each other. 3. No posting of non related issues."
Asant sana niko tayari kufuata maagizo,sw,So much as we are ready to follow the instructions
Nimeelewa asante,sw,I have understood thank you
Sawa,sw,Straight
"Asante Sana,tutafurahiya sana",sw,"Thank you very much, we will be very happy"
Very ready,en,Very ready
U hali gani?Niko tayari kusoma .,sw,What are u? I am ready to read.
Haaya,so,Haaya
Corona imekuwa tisho kwa biashara but kukinga ni kutii tu masharti yaliyowekwa,sw,Corona has been a threat to business but to protect is only obeyed terms set
Corona imekuwa tisho kwa biashara yangu kwa sababu imefanya bei ya bidhaa zingine ipande.,sw,Corona has been a threat to my business because it has made the price of other products.
Corona imefanya biashara imerudi chini sana pia pesa akuna,sw,Corona has traded down too low too money
Nikuzingatia mashariti pekee,sw,I focus on the only mandates
"Corona imefanya biashara iwe ngumu, bidhaa zingine zimepanda Bei, and things are moving slowly",sw,"Corona has traded difficult, other products have gone prices, and things are moving slowly"
"Kuepuka ni kuzingatia masharti yaliowekwa, Kama vile kunawa mkono na kuvaa mask",sw,"Avoid is to comply with the terms set, such as handed and wear mask"
"Corona imefanya biz imekua ya hand $ mouth,,ju kidogo umepata Ni ya kubai food na rent na lyf inasonga",sw,"Corona has made a biz grown to Hand $ Mouth ,, the little ju have to be of the Food and Rent and Lyf moves"
Colona imefanya biashara irudi chini sana vitu vimepada bei na pesa hakuna,sw,Colona has traded back too low items Vimpada price and no money
Nakuepukana nikuweka social distance kwa coustomer wakikuja kununua kuwawekea maji na sabuni yakuonga mikona na kuvaaa mask nakama hauna.mask hakuna kuuziwa,sw,Nakuupukana I put the Social Distance to Coustomer when they come to buy water and soap to zakuonga and wear mask and do not have.
Corona is real we must try to live with it and obey rules and regulations when it comes to business customers wamepungua na wengine wamekopa which brings to business downfall bt all in all we must try to live with it 🙏,en,Corona is real we must try to live with it and obey rules and regulations when it comes to business customers wamepungua na wengine wamekopa which brings to business downfall bt all in all we must try to live with it 🙏
"Thanks for this. Corona Imefanya kwa biashara yangu mkopo imeenda juu, but makali yake naipunguza by kupunguza expenses kwa biashara.",sw,"THANKS FOR THIS. Corona has done for my business loan has gone up, but its edge to reduce by reducing expenses for business."
Corona imerundisha biashara chini na watu wakatosha pesa ..bt sasa inainika kiazi,sw,Corona has tended to trade down with people to make money .BT nowainika
Sawa,sw,Straight
Corona umerudisha bisshara chino lakini najaribu kupunguza expenses,sw,Corona has returned to the Chino biss but I try to reduce expenses
Najaribu kuambia customer wangu wakeep distance wanawe tens wavae mask ndio niwauzie,sw,I try to tell my Customer Wakeep Distance Sick Tens Kusha Mask Yes Niwauzie
When I get the money I'll pay within 3 months,en,When I get the money I'll pay within 3 months
"Loan yetu inalipwa kwa miezi mbili, lazima hukuelewa hapo.",sw,"Our Loan is paid for two months, you must understand that."
Sawa halo sikuelewa nitalipa na miezi mbili,sw,OK Halo I didn't understand I'll pay with two months
Nitakuwa nikiweka 500per day,sw,I'll be putting 500per Day
